driver_id,seed,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,policy,route_idx,score,route_distance_miles,route_cost,expected_value,nominal_revenue,realized_revenue,actual_profit,successful_riders,attempted_riders,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,mean_observability,mean_walk_min,nominal_realized_gap
0,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,corridor_only,0,20.0,9.877900257248314,6.618193172356371,21.028198435511012,34.75,26.0,19.38180682764363,2,3,20,20,13,9,0.623600636498529,2.75539606456014,8.75
0,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,time_only_baseline,0,-6.618193172356371,9.877900257248314,6.618193172356371,28.13180682764363,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6344830182027678,3.925890518689045,0.0
0,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,feasible_count_baseline,0,13.0,9.877900257248314,6.618193172356371,28.13180682764363,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6344830182027678,3.925890518689045,0.0
0,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,walk_aware_rendezvous,0,23.99871273080342,9.877900257248314,6.618193172356371,23.99871273080342,34.75,8.75,2.1318068276436293,1,3,20,20,13,9,0.623600636498529,2.75539606456014,26.0
0,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_only,0,28.13180682764363,9.877900257248314,6.618193172356371,28.13180682764363,34.75,22.0,15.38180682764363,2,3,20,20,13,9,0.6344830182027678,3.925890518689045,12.75
0,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_observable,0,21.160076401030324,9.877900257248314,6.618193172356371,21.160076401030324,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6361604427384635,3.8941225552460828,0.0
0,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,ml_meeting_point_comparator,0,22.383415385326984,9.877900257248314,6.618193172356371,22.383415385326984,34.75,22.0,15.38180682764363,2,3,20,20,13,9,0.6361604427384635,3.8941225552460828,12.75
0,43,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,corridor_only,0,20.0,9.877900257248314,6.618193172356371,21.028198435511012,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.623600636498529,2.75539606456014,0.0
0,43,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,time_only_baseline,0,-6.618193172356371,9.877900257248314,6.618193172356371,28.13180682764363,34.75,22.0,15.38180682764363,2,3,20,20,13,9,0.6344830182027678,3.925890518689045,12.75
0,43,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,feasible_count_baseline,0,13.0,9.877900257248314,6.618193172356371,28.13180682764363,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6344830182027678,3.925890518689045,0.0
0,43,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,walk_aware_rendezvous,0,23.99871273080342,9.877900257248314,6.618193172356371,23.99871273080342,34.75,26.0,19.38180682764363,2,3,20,20,13,9,0.623600636498529,2.75539606456014,8.75
0,43,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_only,0,28.13180682764363,9.877900257248314,6.618193172356371,28.13180682764363,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6344830182027678,3.925890518689045,0.0
0,43,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_observable,0,21.160076401030324,9.877900257248314,6.618193172356371,21.160076401030324,34.75,21.5,14.88180682764363,2,3,20,20,13,9,0.6361604427384635,3.8941225552460828,13.25
0,43,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,ml_meeting_point_comparator,0,22.383415385326984,9.877900257248314,6.618193172356371,22.383415385326984,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6361604427384635,3.8941225552460828,0.0
0,44,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,corridor_only,0,20.0,9.877900257248314,6.618193172356371,21.028198435511012,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.623600636498529,2.75539606456014,0.0
0,44,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,time_only_baseline,0,-6.618193172356371,9.877900257248314,6.618193172356371,28.13180682764363,34.75,21.5,14.88180682764363,2,3,20,20,13,9,0.6344830182027678,3.925890518689045,13.25
0,44,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,feasible_count_baseline,0,13.0,9.877900257248314,6.618193172356371,28.13180682764363,34.75,8.75,2.1318068276436293,1,3,20,20,13,9,0.6344830182027678,3.925890518689045,26.0
0,44,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,walk_aware_rendezvous,0,23.99871273080342,9.877900257248314,6.618193172356371,23.99871273080342,34.75,26.0,19.38180682764363,2,3,20,20,13,9,0.623600636498529,2.75539606456014,8.75
0,44,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_only,0,28.13180682764363,9.877900257248314,6.618193172356371,28.13180682764363,34.75,22.0,15.38180682764363,2,3,20,20,13,9,0.6344830182027678,3.925890518689045,12.75
0,44,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_observable,0,21.160076401030324,9.877900257248314,6.618193172356371,21.160076401030324,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6361604427384635,3.8941225552460828,0.0
0,44,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,ml_meeting_point_comparator,0,22.383415385326984,9.877900257248314,6.618193172356371,22.383415385326984,34.75,34.75,28.13180682764363,3,3,20,20,13,9,0.6361604427384635,3.8941225552460828,0.0
1,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,corridor_only,1,5.0,15.915406315632495,10.663322231473773,19.80026345324395,35.0,35.0,24.33667776852623,3,3,5,5,10,10,0.8009704060512659,3.665640103330899,0.0
1,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,time_only_baseline,0,-9.790757701915073,14.613071196888168,9.790757701915073,-9.790757701915073,0.0,0.0,-9.790757701915073,0,0,0,0,0,0,0.0,0.0,0.0
1,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,feasible_count_baseline,1,10.0,15.915406315632495,10.663322231473773,24.33667776852623,35.0,35.0,24.33667776852623,3,3,5,5,10,10,0.8333306305319095,4.733366085050469,0.0
1,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,walk_aware_rendezvous,1,18.838217613529878,15.915406315632495,10.663322231473773,18.838217613529878,35.0,35.0,24.33667776852623,3,3,5,5,10,10,0.8009704060512659,3.665640103330899,0.0
1,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_only,1,24.33667776852623,15.915406315632495,10.663322231473773,24.33667776852623,35.0,35.0,24.33667776852623,3,3,5,5,10,10,0.8333306305319095,4.733366085050469,0.0
1,42,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,rendezvous_observable,1,20.25330659597296,15.915406315632495,10.663322231473773,20.25330659597296,35.0,35.0,24.33667776852623,3,3,5,5,10,10,0.8333306305319095,4.733366085050469,0.0
