policy,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,1.0502502544176138,1.363191709496709,0.8266666666666667,2.5,17.139027777777777,19.34,19.34,9.75,5.06,4.348786014661282,0.2632012654720518,900
feasible_count_baseline,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,6.091619344990285,9.559952678323619,1.5655555555555556,1.9233333333333333,3.4683333333333333,19.053333333333335,19.053333333333335,10.06,5.183333333333334,3.148107634458717,0.537066221128527,900
ml_meeting_point_comparator,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,6.46008275511148,7.1142959777990065,1.5811111111111111,1.93,3.346111111111111,18.816666666666666,18.816666666666666,9.75,5.123333333333333,3.0715101581519484,0.5534908803330754,900
rendezvous_observable,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,6.388981126838745,6.80356932976555,1.5811111111111111,1.9266666666666667,3.3966666666666665,18.83,18.83,9.77,5.14,3.064985244952774,0.5575756891183006,900
rendezvous_only,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,6.16845568507725,9.809011240632804,1.5444444444444445,1.93,3.6405555555555558,18.803333333333335,18.803333333333335,9.78,5.1466666666666665,3.13948286071939,0.5370982040215392,900
time_only_baseline,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,4.373784300120269,7.431006522342491,1.4022222222222223,1.7366666666666666,3.0572222222222223,17.83,17.83,8.766666666666667,4.446666666666666,2.932070671322285,0.5018174292662507,900
walk_aware_rendezvous,yellow,sparse_high_occlusion,25,0.4,1,no_clutter,True,0.5,6.015705523175131,6.749187188085591,1.5355555555555556,1.9166666666666667,3.7091666666666665,18.80666666666667,18.80666666666667,9.783333333333333,5.1033333333333335,2.4316178831043866,0.5226576642997409,900
