policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,2015-04-01T08:25:00,55,0,1,3,17.0,11.091090757701913,17.0,1.1833333333333333,4.576730111429093,0.23012524932247092,112,81193;10504;77407,81193,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T09:27:00,24,1,2,3,16.0,8.964113238967526,19.0,0.325,3.4959059705235993,0.3324375399377189,98,59385;36397;87973,59385;87973,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T08:53:00,40,0,0,3,0.0,-11.945045795170692,18.0,0.0,6.0,0.0,119,65219;57884;78095,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T07:22:00,34,0,1,3,9.5,-2.04571190674438,9.0,3.95,4.679738073016321,0.21863869201149244,51,61967;17515;79271,61967,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T07:42:00,11,1,0,3,0.0,-13.741590341382185,12.0,0.0,6.0,0.0,55,59842;88674;33304,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T07:42:00,53,1,0,2,0.0,-11.798459616985847,18.0,0.0,3.9795483024532814,0.16186366312600825,61,7731;82166,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T08:00:00,42,0,1,3,4.25,-7.130474604496257,8.0,4.366666666666666,5.660147954695617,0.19347253926063365,67,25414;17097;77781,17097,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T09:23:00,6,1,1,3,7.5,1.1550791007493748,16.0,0.4666666666666667,4.56445688141444,0.1079066957060461,91,19600;51535;57948,51535,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-05T08:02:00,43,0,0,0,0.0,-12.087302248126562,0.0,0.0,0.0,0.0,34,,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-06T09:39:00,50,0,1,3,7.75,-3.514612822647795,19.0,0.5333333333333333,5.415173286196532,0.1696799804059663,95,62181;51659;22727,51659,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-07T08:02:00,23,0,1,3,6.75,-0.9447543713572024,14.0,2.95,5.0583420652935205,0.24200414895942238,79,85879;76453;60109,76453,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-08T09:43:00,31,1,0,3,0.0,-12.831473771856789,18.0,0.0,6.0,0.0,131,71142;24601;91860,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-09T08:16:00,20,0,1,3,7.25,1.729017485428809,23.0,3.716666666666667,5.328581713947906,0.22917548199637838,114,88205;24216;49521,24216,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-10T07:05:00,17,0,0,2,0.0,-12.630099916736055,3.0,0.0,6.0,0.0,59,25508;10681,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-10T08:33:00,47,0,0,3,0.0,-9.973105745212324,7.0,0.0,6.0,0.0,98,26973;5495;22732,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-11T07:14:00,18,0,0,1,0.0,-11.830474604496255,1.0,0.0,6.0,0.0,19,60439,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-11T08:01:00,45,0,0,0,0.0,-7.333680266444631,0.0,0.0,0.0,0.0,46,,,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
