policy,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,mean_profit_per_driver,mean_total_profit,mean_service_rate,mean_wait_min,mean_walk_min,mean_observability,mean_route_coverage_rate,mean_drivers_skipped_no_route,mean_eligible_riders,n_runs
corridor_only,yellow,primary,100,0.25,1,full,True,0.5,3.8578752039966675,1928.9376019983333,0.00017014780366031822,2.5238282919190356,4.792563170706248,0.25608906382151003,1.0,0.0,2756427.0,5
feasible_count_baseline,yellow,primary,100,0.25,1,full,True,0.5,11.495094804329725,5747.547402164862,0.00034174676129641743,2.5647508526950475,3.966113312731146,0.606984386758006,1.0,0.0,2756427.0,5
ml_meeting_point_comparator,yellow,primary,100,0.25,1,full,True,0.5,12.229406161532056,6114.703080766028,0.00034871230038016604,2.5617976656871386,3.9205477724697873,0.6290264007618158,1.0,0.0,2756427.0,5
rendezvous_observable,yellow,primary,100,0.25,1,full,True,0.5,12.139706161532057,6069.853080766028,0.0003461727809225494,2.581361590748023,3.925920187680988,0.630223371761044,1.0,0.0,2756427.0,5
rendezvous_only,yellow,primary,100,0.25,1,full,True,0.5,12.062795503746878,6031.397751873439,0.0003450118577419246,2.6088098339018932,3.986112000371462,0.6116755444252644,1.0,0.0,2756427.0,5
time_only_baseline,yellow,primary,100,0.25,1,full,True,0.5,10.467010657785188,5233.505328892594,0.0003278882408277092,2.6178675227583432,3.9166033936282423,0.6023507383341333,1.0,0.0,2756427.0,5
walk_aware_rendezvous,yellow,primary,100,0.25,1,full,True,0.5,11.809266128226477,5904.633064113239,0.00033848166485091023,2.5630450636882154,2.9874043008943176,0.5908513343881866,1.0,0.0,2756427.0,5
