policy,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-3.389766927560367,-3.2316874091858616,0.5568,2.194,13.292179999999998,7.812,7.812,3.864,1.152,4.334857090779019,0.17862065830800952,2500
feasible_count_baseline,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-1.0074426977518747,1.2975373022481256,0.968,1.252,2.30498,7.55,7.55,4.056,1.17,2.616548458342672,0.3914097688456065,2500
ml_meeting_point_comparator,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-0.5906626977518745,0.11027237984129615,0.9836,1.256,2.2383,7.438,7.438,3.966,1.144,2.5786941437807647,0.4052492238177228,2500
rendezvous_observable,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-0.6766796336386355,-0.4037788608308544,0.9816,1.256,2.31854,7.45,7.45,3.954,1.156,2.5793511229959254,0.4067801023653792,2500
rendezvous_only,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-0.7013350541215664,1.6489649458784337,0.9728,1.258,2.3503,7.424,7.424,3.948,1.136,2.636601075423034,0.3948217491055623,2500
time_only_baseline,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-1.6440693422148218,0.309510657785178,0.8816,1.126,1.9535799999999999,7.164,7.164,3.492,1.012,2.4328083111838263,0.3661347293728755,2500
walk_aware_rendezvous,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-0.7933456119900094,-0.34353450535227387,0.9532,1.24,2.38318,7.464,7.464,3.98,1.148,2.0612099841340163,0.38428272420711634,2500
