driver_id,seed,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_ablation,use_urban_context
0,42,0,20,20,13,5,28.13180682764363,20.556878561097683,23.99871273080342,9.877900257248314,no_turn,True
0,42,1,20,20,13,5,27.99979184013322,20.424863573587274,23.86669774329301,10.074937552039968,no_turn,True
0,43,0,20,20,13,5,28.13180682764363,20.556878561097683,23.99871273080342,9.877900257248314,no_turn,True
0,43,1,20,20,13,5,27.99979184013322,20.424863573587274,23.86669774329301,10.074937552039968,no_turn,True
0,44,0,20,20,13,5,28.13180682764363,20.556878561097683,23.99871273080342,9.877900257248314,no_turn,True
0,44,1,20,20,13,5,27.99979184013322,20.424863573587274,23.86669774329301,10.074937552039968,no_turn,True
1,42,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_turn,True
1,42,1,5,5,10,3,24.33667776852623,17.400272471026632,18.838217613529878,15.915406315632495,no_turn,True
1,43,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_turn,True
1,43,1,5,5,10,3,24.33667776852623,17.400272471026632,18.838217613529878,15.915406315632495,no_turn,True
1,44,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_turn,True
1,44,1,5,5,10,3,24.33667776852623,17.400272471026632,18.838217613529878,15.915406315632495,no_turn,True
2,42,0,9,9,15,0,28.134721065778514,20.45423447395727,21.72918775793171,13.604893931673855,no_turn,True
2,43,0,9,9,15,0,28.134721065778514,20.45423447395727,21.72918775793171,13.604893931673855,no_turn,True
2,44,0,9,9,15,0,28.134721065778514,20.45423447395727,21.72918775793171,13.604893931673855,no_turn,True
3,42,0,28,28,9,2,28.000416319733553,20.65779628596035,23.981838767595335,7.8351995227857385,no_turn,True
3,43,0,28,28,9,2,28.000416319733553,20.65779628596035,23.981838767595335,7.8351995227857385,no_turn,True
3,44,0,28,28,9,2,28.000416319733553,20.65779628596035,23.981838767595335,7.8351995227857385,no_turn,True
4,42,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_turn,True
4,42,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_turn,True
4,43,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_turn,True
4,43,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_turn,True
4,44,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_turn,True
4,44,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_turn,True
5,42,0,1,1,1,1,0.9201498751040784,-1.1688205652771142,-0.38617291162080036,14.671418096859583,no_turn,True
5,42,1,6,6,11,3,26.45828476269775,19.13250831569095,21.306615799434965,15.36076901089888,no_turn,True
5,43,0,1,1,1,1,0.9201498751040784,-1.1688205652771142,-0.38617291162080036,14.671418096859583,no_turn,True
5,43,1,6,6,11,3,26.45828476269775,19.13250831569095,21.306615799434965,15.36076901089888,no_turn,True
5,44,0,1,1,1,1,0.9201498751040784,-1.1688205652771142,-0.38617291162080036,14.671418096859583,no_turn,True
5,44,1,6,6,11,3,26.45828476269775,19.13250831569095,21.306615799434965,15.36076901089888,no_turn,True
6,42,0,5,5,0,0,-12.141590341382182,-12.141590341382182,-12.141590341382182,18.12177662892863,no_turn,True
6,42,1,3,3,0,0,-13.231099084096588,-13.231099084096588,-13.231099084096588,19.747909080741174,no_turn,True
6,43,0,5,5,0,0,-12.141590341382182,-12.141590341382182,-12.141590341382182,18.12177662892863,no_turn,True
6,43,1,3,3,0,0,-13.231099084096588,-13.231099084096588,-13.231099084096588,19.747909080741174,no_turn,True
6,44,0,5,5,0,0,-12.141590341382182,-12.141590341382182,-12.141590341382182,18.12177662892863,no_turn,True
6,44,1,3,3,0,0,-13.231099084096588,-13.231099084096588,-13.231099084096588,19.747909080741174,no_turn,True
7,42,0,21,21,14,3,19.752830974188175,15.10217571749288,15.217388756373733,7.458461232554961,no_turn,True
7,42,1,23,23,25,2,29.27352206494588,22.470068664142765,26.46230589076005,8.173847664259883,no_turn,True
7,43,0,21,21,14,3,19.752830974188175,15.10217571749288,15.217388756373733,7.458461232554961,no_turn,True
7,43,1,23,23,25,2,29.27352206494588,22.470068664142765,26.46230589076005,8.173847664259883,no_turn,True
7,44,0,21,21,14,3,19.752830974188175,15.10217571749288,15.217388756373733,7.458461232554961,no_turn,True
7,44,1,23,23,25,2,29.27352206494588,22.470068664142765,26.46230589076005,8.173847664259883,no_turn,True
8,42,0,3,3,3,0,26.428601165695255,18.36205178798653,22.79029235703242,17.643878857171263,no_turn,True
8,43,0,3,3,3,0,26.428601165695255,18.36205178798653,22.79029235703242,17.643878857171263,no_turn,True
8,44,0,3,3,3,0,26.428601165695255,18.36205178798653,22.79029235703242,17.643878857171263,no_turn,True
9,42,0,5,5,0,0,-5.010532889258951,-5.010532889258951,-5.010532889258951,7.478407297401419,no_turn,True
9,42,1,6,6,0,0,-5.5421315570358045,-5.5421315570358045,-5.5421315570358045,8.271838144829559,no_turn,True
9,43,0,5,5,0,0,-5.010532889258951,-5.010532889258951,-5.010532889258951,7.478407297401419,no_turn,True
9,43,1,6,6,0,0,-5.5421315570358045,-5.5421315570358045,-5.5421315570358045,8.271838144829559,no_turn,True
9,44,0,5,5,0,0,-5.010532889258951,-5.010532889258951,-5.010532889258951,7.478407297401419,no_turn,True
9,44,1,6,6,0,0,-5.5421315570358045,-5.5421315570358045,-5.5421315570358045,8.271838144829559,no_turn,True
10,42,0,27,27,5,1,15.216527893422148,11.50414407662195,9.531396364507483,7.885779263549033,no_turn,True
10,42,1,28,28,5,1,14.684929225645295,10.972545408845097,8.999797696730631,8.67921011097717,no_turn,True
10,43,0,27,27,5,1,15.216527893422148,11.50414407662195,9.531396364507483,7.885779263549033,no_turn,True
10,43,1,28,28,5,1,14.684929225645295,10.972545408845097,8.999797696730631,8.67921011097717,no_turn,True
10,44,0,27,27,5,1,15.216527893422148,11.50414407662195,9.531396364507483,7.885779263549033,no_turn,True
10,44,1,28,28,5,1,14.684929225645295,10.972545408845097,8.999797696730631,8.67921011097717,no_turn,True
11,42,0,8,8,0,0,-11.96390507910075,-11.96390507910075,-11.96390507910075,17.85657474492649,no_turn,True
11,42,1,8,8,0,0,-12.85012489592007,-12.85012489592007,-12.85012489592007,19.179290889432938,no_turn,True
11,43,0,8,8,0,0,-11.96390507910075,-11.96390507910075,-11.96390507910075,17.85657474492649,no_turn,True
11,43,1,8,8,0,0,-12.85012489592007,-12.85012489592007,-12.85012489592007,19.179290889432938,no_turn,True
11,44,0,8,8,0,0,-11.96390507910075,-11.96390507910075,-11.96390507910075,17.85657474492649,no_turn,True
