policy,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,25,0.4,1,no_turn,True,0.5,0.4330280321953917,0.6819675862883287,0.7755555555555556,2.5,17.75625,19.34,19.34,9.75,1.2633333333333334,4.348786014661282,0.2140691314723392,900
feasible_count_baseline,yellow,sparse_high_occlusion,25,0.4,1,no_turn,True,0.5,4.874119344990285,9.559952678323619,1.44,1.9233333333333333,4.685833333333333,19.053333333333335,19.053333333333335,10.06,1.2966666666666666,3.148107634458717,0.4280760205225216,900
ml_meeting_point_comparator,yellow,sparse_high_occlusion,25,0.4,1,no_turn,True,0.5,5.04508275511148,7.1142959777990065,1.44,1.93,4.761111111111111,18.816666666666666,18.816666666666666,9.75,1.27,3.0715101581519484,0.4351952236728039,900
rendezvous_observable,yellow,sparse_high_occlusion,25,0.4,1,no_turn,True,0.5,4.986519613285224,5.6707509345292815,1.4422222222222223,1.9266666666666667,4.795277777777778,18.813333333333333,18.813333333333333,9.746666666666666,1.29,3.077931269655654,0.4432277637867899,900
rendezvous_only,yellow,sparse_high_occlusion,25,0.4,1,no_turn,True,0.5,5.109566796188361,9.809011240632804,1.431111111111111,1.93,4.6994444444444445,18.803333333333335,18.803333333333335,9.78,1.2733333333333334,3.13948286071939,0.42892489108488685,900
time_only_baseline,yellow,sparse_high_occlusion,25,0.4,1,no_turn,True,0.5,3.3893398556758245,7.431006522342491,1.2933333333333332,1.7366666666666666,4.041666666666667,17.83,17.83,8.766666666666667,1.1866666666666668,2.932070671322285,0.4039395879443001,900
walk_aware_rendezvous,yellow,sparse_high_occlusion,25,0.4,1,no_turn,True,0.5,4.942649967619576,6.749187188085591,1.4322222222222223,1.9166666666666667,4.782222222222222,18.80666666666667,18.80666666666667,9.783333333333333,1.27,2.4316178831043866,0.42613162712419567,900
