driver_id,seed,time_slice,hour_start,hour_end,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_profile,observability_ablation,use_urban_context
0,42,all_day,,,0,5,5,4,4,3.8818068276436293,3.0096085174442813,2.1589973991556626,9.877900257248314,calibrated,full,True
0,42,all_day,,,1,5,5,4,4,3.749791840133221,2.877593529933873,2.026982411645254,10.074937552039968,calibrated,full,True
0,43,all_day,,,0,5,5,4,4,3.8818068276436293,3.0096085174442813,2.1589973991556626,9.877900257248314,calibrated,full,True
0,43,all_day,,,1,5,5,4,4,3.749791840133221,2.877593529933873,2.026982411645254,10.074937552039968,calibrated,full,True
0,44,all_day,,,0,5,5,4,4,3.8818068276436293,3.0096085174442813,2.1589973991556626,9.877900257248314,calibrated,full,True
0,44,all_day,,,1,5,5,4,4,3.749791840133221,2.877593529933873,2.026982411645254,10.074937552039968,calibrated,full,True
0,45,all_day,,,0,5,5,4,4,3.8818068276436293,3.0096085174442813,2.1589973991556626,9.877900257248314,calibrated,full,True
0,45,all_day,,,1,5,5,4,4,3.749791840133221,2.877593529933873,2.026982411645254,10.074937552039968,calibrated,full,True
0,46,all_day,,,0,5,5,4,4,3.8818068276436293,3.0096085174442813,2.1589973991556626,9.877900257248314,calibrated,full,True
0,46,all_day,,,1,5,5,4,4,3.749791840133221,2.877593529933873,2.026982411645254,10.074937552039968,calibrated,full,True
1,42,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,True
1,42,all_day,,,1,1,1,2,2,1.0866777685262274,0.1792523578324925,-1.0500162634337862,15.915406315632495,calibrated,full,True
1,43,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,True
1,43,all_day,,,1,1,1,2,2,1.0866777685262274,0.1792523578324925,-1.0500162634337862,15.915406315632495,calibrated,full,True
1,44,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,True
1,44,all_day,,,1,1,1,2,2,1.0866777685262274,0.1792523578324925,-1.0500162634337862,15.915406315632495,calibrated,full,True
1,45,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,True
1,45,all_day,,,1,1,1,2,2,1.0866777685262274,0.1792523578324925,-1.0500162634337862,15.915406315632495,calibrated,full,True
1,46,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,True
1,46,all_day,,,1,1,1,2,2,1.0866777685262274,0.1792523578324925,-1.0500162634337862,15.915406315632495,calibrated,full,True
2,42,all_day,,,0,3,3,4,4,-5.865278934221484,-6.120171882669443,-7.944429857361493,13.604893931673855,calibrated,full,True
2,43,all_day,,,0,3,3,4,4,-5.865278934221484,-6.120171882669443,-7.944429857361493,13.604893931673855,calibrated,full,True
2,44,all_day,,,0,3,3,4,4,-5.865278934221484,-6.120171882669443,-7.944429857361493,13.604893931673855,calibrated,full,True
2,45,all_day,,,0,3,3,4,4,-5.865278934221484,-6.120171882669443,-7.944429857361493,13.604893931673855,calibrated,full,True
2,46,all_day,,,0,3,3,4,4,-5.865278934221484,-6.120171882669443,-7.944429857361493,13.604893931673855,calibrated,full,True
3,42,all_day,,,0,6,6,2,2,4.000416319733555,3.1216446276368703,-0.856378643595356,7.8351995227857385,calibrated,full,True
3,43,all_day,,,0,6,6,2,2,4.000416319733555,3.1216446276368703,-0.856378643595356,7.8351995227857385,calibrated,full,True
3,44,all_day,,,0,6,6,2,2,4.000416319733555,3.1216446276368703,-0.856378643595356,7.8351995227857385,calibrated,full,True
3,45,all_day,,,0,6,6,2,2,4.000416319733555,3.1216446276368703,-0.856378643595356,7.8351995227857385,calibrated,full,True
3,46,all_day,,,0,6,6,2,2,4.000416319733555,3.1216446276368703,-0.856378643595356,7.8351995227857385,calibrated,full,True
4,42,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,True
4,42,all_day,,,1,3,3,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,True
4,43,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,True
4,43,all_day,,,1,3,3,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,True
4,44,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,True
4,44,all_day,,,1,3,3,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,True
4,45,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,True
4,45,all_day,,,1,3,3,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,True
4,46,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,True
4,46,all_day,,,1,3,3,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,True
5,42,all_day,,,0,0,0,0,0,-9.829850124895922,-9.829850124895922,-9.829850124895922,14.671418096859583,calibrated,full,True
5,42,all_day,,,1,0,0,0,0,-10.29171523730225,-10.29171523730225,-10.29171523730225,15.36076901089888,calibrated,full,True
5,43,all_day,,,0,0,0,0,0,-9.829850124895922,-9.829850124895922,-9.829850124895922,14.671418096859583,calibrated,full,True
5,43,all_day,,,1,0,0,0,0,-10.29171523730225,-10.29171523730225,-10.29171523730225,15.36076901089888,calibrated,full,True
5,44,all_day,,,0,0,0,0,0,-9.829850124895922,-9.829850124895922,-9.829850124895922,14.671418096859583,calibrated,full,True
5,44,all_day,,,1,0,0,0,0,-10.29171523730225,-10.29171523730225,-10.29171523730225,15.36076901089888,calibrated,full,True
5,45,all_day,,,0,0,0,0,0,-9.829850124895922,-9.829850124895922,-9.829850124895922,14.671418096859583,calibrated,full,True
5,45,all_day,,,1,0,0,0,0,-10.29171523730225,-10.29171523730225,-10.29171523730225,15.36076901089888,calibrated,full,True
5,46,all_day,,,0,0,0,0,0,-9.829850124895922,-9.829850124895922,-9.829850124895922,14.671418096859583,calibrated,full,True
5,46,all_day,,,1,0,0,0,0,-10.29171523730225,-10.29171523730225,-10.29171523730225,15.36076901089888,calibrated,full,True
6,42,all_day,,,0,1,1,0,0,-12.141590341382182,-12.141590341382182,-12.141590341382182,18.12177662892863,calibrated,full,True
