driver_id,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,route_idx,route_cost,route_distance_miles,route_duration_min,rider_id,anchor_cell,anchor_idx,pickup_h3,dropoff_h3,fare_share,passenger_count,walk_m,walk_min,anchor_progress,travel_fraction,ambiguity_count,local_straightness,turn_severity,anchor_clutter,urban_clutter_index,sidewalk_access_score,building_height_proxy,context_is_imputed,observability_score,success_probability
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,12.765903413821817,19.05358718480868,33.06333333333333,5905,892a1008c23ffff,2,892a1008c33ffff,892a100f52bffff,12.5,1,256.1509892318659,3.4153465230915447,0.018018018018018018,0.3790307042767453,5,0.6614681914662911,0.35015322751606437,2.095114058664806,0.8689193548387097,0.9079758030863463,0.6254838709677419,False,0.4518656441128023,0.7307462576451209
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,12.765903413821817,19.05358718480868,33.06333333333333,5905,892a1008c3bffff,3,892a1008c33ffff,892a100f52bffff,12.5,1,191.40754130674762,2.552100550756635,0.02702702702702703,0.37379703212900295,5,0.6464788880106286,0.673658708524945,2.019414375334874,0.875640625,0.9999985710936973,0.6446875000000001,False,0.35343617518123327,0.6913744700724933
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,12.765903413821817,19.05358718480868,33.06333333333333,5905,892a1008c33ffff,4,892a1008c33ffff,892a100f52bffff,12.5,1,177.09140330229377,2.3612187106972504,0.036036036036036036,0.3564243537747779,5,0.37123318006782574,0.6736464556664579,1.927574458205558,0.7790012474964063,1.0,0.3685749928468751,False,0.30046863896101395,0.6701874555844055
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,12.765903413821817,19.05358718480868,33.06333333333333,5905,892a1008c07ffff,5,892a1008c33ffff,892a100f52bffff,12.5,1,332.08913782377704,4.427855170983694,0.04504504504504504,0.3627092803792395,5,0.5692813274885633,0.832601839373476,1.6417089157405633,0.7789371652140384,0.999995628350673,0.3683919006115384,False,0.29978428203258517,0.6699137128130339
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,13.114779350541218,19.57429753812122,35.538333333333334,5905,892a1008c23ffff,2,892a1008c33ffff,892a100f52bffff,12.5,1,256.1509892318659,3.4153465230915447,0.01694915254237288,0.35958866150440105,5,0.6614681914662911,0.35015322751606437,2.095114058664806,0.8689193548387097,0.9079758030863463,0.6254838709677419,False,0.4518656441128023,0.7307462576451209
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,13.114779350541218,19.57429753812122,35.538333333333334,5905,892a1008c3bffff,3,892a1008c33ffff,892a100f52bffff,12.5,1,191.40754130674762,2.552100550756635,0.025423728813559324,0.3544942708536466,5,0.6464788880106286,0.673658708524945,2.019414375334874,0.875640625,0.9999985710936973,0.6446875000000001,False,0.35343617518123327,0.6913744700724933
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,13.114779350541218,19.57429753812122,35.538333333333334,5905,892a1008c33ffff,4,892a1008c33ffff,892a100f52bffff,12.5,1,177.09140330229377,2.3612187106972504,0.03389830508474576,0.3375839242197815,5,0.37123318006782574,0.6736464556664579,1.927574458205558,0.7790012474964063,1.0,0.3685749928468751,False,0.30046863896101395,0.6701874555844055
6,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,13.114779350541218,19.57429753812122,35.538333333333334,5905,892a1008c07ffff,5,892a1008c33ffff,892a100f52bffff,12.5,1,332.08913782377704,4.427855170983694,0.0423728813559322,0.3437015927382917,5,0.5692813274885633,0.832601839373476,1.6417089157405633,0.7789371652140384,0.999995628350673,0.3683919006115384,False,0.29978428203258517,0.6699137128130339
7,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,8.288634471273939,12.371096225781997,24.654999999999998,9204,892a10729d7ffff,53,892a107299bffff,892a100da73ffff,5.25,2,355.2929951179863,4.737239934906484,0.726027397260274,0.1299916461640508,2,0.8523406708912197,7.3575117482960195e-06,1.665807542622835,0.7370809973711077,0.8742463081355695,0.24880284963173646,False,0.6954900975755475,0.828196039030219
7,green,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,8.288634471273939,12.371096225781997,24.654999999999998,9204,892a1072d6fffff,54,892a107299bffff,892a100da73ffff,5.25,2,285.87380974662744,3.811650796621699,0.7397260273972602,0.11279904995013212,2,0.7429485235921227,0.3503538735810205,1.7539050084011225,0.7569785435757974,0.9773285974258138,0.3056529816451353,False,0.5661076888618986,0.7764430755447593
