policy,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_profit_per_driver,mean_total_profit,mean_service_rate,mean_wait_min,mean_walk_min,mean_observability,mean_route_coverage_rate,mean_drivers_skipped_no_route,mean_eligible_riders,n_runs
corridor_only,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-5.705810435747993,-1426.4526089369983,0.00036715824398336197,2.4631185852981967,5.187746784719428,0.1815945964506301,1.0,0.0,273270.0,3
feasible_count_baseline,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-4.695068998057177,-1173.7672495142945,0.0005379295202546931,2.4487079904360383,4.14070254516346,0.5844498571934714,1.0,0.0,273270.0,3
rendezvous_observable,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-4.629837635303916,-1157.4594088259792,0.0005354899305936742,2.377262295407991,3.9035319038906997,0.6039251197267249,1.0,0.0,273270.0,3
rendezvous_only,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-4.544790119344992,-1136.1975298362483,0.0005452482892377502,2.4367933914306463,4.149608434927324,0.5826982102190368,1.0,0.0,273270.0,3
time_only_baseline,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-5.297205328892596,-1324.301332223149,0.00045986265110208464,2.479452220588325,4.114134225190222,0.5837322922974635,1.0,0.0,273270.0,3
walk_aware_rendezvous,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,-4.427164751595895,-1106.7911878989737,0.0005415889047462217,2.3676797009850703,3.145644726581836,0.5708676808231523,1.0,0.0,273270.0,3
