driver_id,seed,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,policy,route_idx,score,route_distance_miles,route_cost,expected_value,nominal_revenue,realized_revenue,actual_profit,successful_riders,attempted_riders,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,mean_observability,mean_walk_min,nominal_realized_gap,selected_rider_ids,successful_rider_ids
1,44,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,time_only_baseline,0,-10.535179017485431,15.724147787291686,10.535179017485431,-10.535179017485431,0.0,0.0,-10.535179017485431,0,0,0,0,0,0,0.0,0.0,0.0,,
1,44,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,feasible_count_baseline,1,3.0,19.762262790957784,13.240716069941715,-7.2407160699417155,6.0,6.0,-7.2407160699417155,1,1,3,3,3,3,0.5661556656507396,5.691689885639329,0.0,274684,274684
1,44,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,walk_aware_rendezvous,1,-7.854349308504483,19.762262790957784,13.240716069941715,-7.854349308504483,6.0,6.0,-7.2407160699417155,1,1,3,3,3,3,0.6620600211887174,1.2272664771255366,0.0,274684,274684
1,44,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,rendezvous_only,1,-7.2407160699417155,19.762262790957784,13.240716069941715,-7.2407160699417155,6.0,6.0,-7.2407160699417155,1,1,3,3,3,3,0.5661556656507396,5.691689885639329,0.0,274684,274684
1,44,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,rendezvous_observable,1,-8.04762603815864,19.762262790957784,13.240716069941715,-8.04762603815864,6.0,6.0,-7.2407160699417155,1,1,3,3,3,3,0.6620600211887174,1.2272664771255366,0.0,274684,274684
1,45,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,corridor_only,1,3.0,19.762262790957784,13.240716069941715,-8.04762603815864,23.25,6.0,-7.2407160699417155,1,3,3,3,3,3,0.22068667372957249,4.409088825708512,17.25,117340;173417;274684,274684
1,45,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,time_only_baseline,0,-10.535179017485431,15.724147787291686,10.535179017485431,-10.535179017485431,0.0,0.0,-10.535179017485431,0,0,0,0,0,0,0.0,0.0,0.0,,
1,45,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,feasible_count_baseline,1,3.0,19.762262790957784,13.240716069941715,-7.2407160699417155,6.0,6.0,-7.2407160699417155,1,1,3,3,3,3,0.5661556656507396,5.691689885639329,0.0,274684,274684
1,45,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,walk_aware_rendezvous,1,-7.854349308504483,19.762262790957784,13.240716069941715,-7.854349308504483,6.0,6.0,-7.2407160699417155,1,1,3,3,3,3,0.6620600211887174,1.2272664771255366,0.0,274684,274684
1,45,green,primary,all_day,all,,,100,0.25,1,calibrated,full,True,0.5,rendezvous_only,1,-7.2407160699417155,19.762262790957784,13.240716069941715,-7.2407160699417155,6.0,0.0,-13.240716069941715,0,1,3,3,3,3,0.5661556656507396,5.691689885639329,6.0,274684,
