policy,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,-0.003717235636970055,0.10432184616289328,0.888,2.442,13.3763,8.816,8.816,6.024,5.01,4.375126502441327,0.23276466176368207,2500
feasible_count_baseline,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,3.708961865112405,6.193161865112406,1.4972,1.806,2.4842,8.33,8.33,6.404,5.278,3.287545768728638,0.4696459287419955,2500
rendezvous_observable,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,4.308437135720233,4.47467546620096,1.5356,1.816,2.2737,8.248,8.248,6.176,5.168,3.221037758106018,0.49237895453167213,2500
rendezvous_only,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,4.320310824313071,6.586010824313071,1.53,1.816,2.2657,8.226,8.226,6.188,5.162,3.3086569325074713,0.47241580251971116,2500
time_only_baseline,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1.898431723563696,3.799131723563696,1.2684,1.522,1.9007,6.824,6.824,4.886,4.066,2.9595064643568616,0.4291198478017953,2500
walk_aware_rendezvous,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,4.097781015820149,3.7326017517751113,1.5056,1.802,2.4119,8.232,8.232,6.202,5.162,2.4957808099026355,0.4631204676111225,2500
