policy,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,25,0.4,1,no_ambiguity,True,0.5,0.7794169210842805,1.1302164646014592,0.8044444444444444,2.5,17.409861111111113,19.34,19.34,9.75,4.84,4.348786014661282,0.2467289938457718,900
feasible_count_baseline,yellow,sparse_high_occlusion,25,0.4,1,no_ambiguity,True,0.5,5.753563789434729,9.559952678323619,1.528888888888889,1.9233333333333333,3.806388888888889,19.053333333333335,19.053333333333335,10.06,4.87,3.148107634458717,0.5071978532455443,900
ml_meeting_point_comparator,yellow,sparse_high_occlusion,25,0.4,1,no_ambiguity,True,0.5,6.013693866222591,7.1142959777990065,1.54,1.93,3.7925,18.816666666666666,18.816666666666666,9.75,4.823333333333333,3.0715101581519484,0.522897736892025,900
rendezvous_observable,yellow,sparse_high_occlusion,25,0.4,1,no_ambiguity,True,0.5,6.046481126838745,6.472332037771819,1.5444444444444445,1.9266666666666667,3.7391666666666667,18.83,18.83,9.77,4.886666666666667,3.0770001341412656,0.5269748135868773,900
rendezvous_only,yellow,sparse_high_occlusion,25,0.4,1,no_ambiguity,True,0.5,5.809289018410583,9.809011240632804,1.5122222222222221,1.93,3.999722222222222,18.803333333333335,18.803333333333335,9.78,4.796666666666667,3.13948286071939,0.5068821121990877,900
time_only_baseline,yellow,sparse_high_occlusion,25,0.4,1,no_ambiguity,True,0.5,4.057950966786936,7.431006522342491,1.3666666666666667,1.7366666666666666,3.3730555555555557,17.83,17.83,8.766666666666667,4.183333333333334,2.932070671322285,0.47018919868452835,900
walk_aware_rendezvous,yellow,sparse_high_occlusion,25,0.4,1,no_ambiguity,True,0.5,5.657649967619576,6.749187188085591,1.5044444444444445,1.9166666666666667,4.067222222222222,18.80666666666667,18.80666666666667,9.783333333333333,4.806666666666667,2.4316178831043866,0.4929352727986305,900
