driver_id,seed,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_ablation,use_urban_context
0,42,0,20,20,13,7,28.13180682764363,19.946296501460118,23.99871273080342,9.877900257248314,no_ambiguity,True
0,42,1,20,20,13,7,27.99979184013322,19.81428151394971,23.86669774329301,10.074937552039968,no_ambiguity,True
0,43,0,20,20,13,7,28.13180682764363,19.946296501460118,23.99871273080342,9.877900257248314,no_ambiguity,True
0,43,1,20,20,13,7,27.99979184013322,19.81428151394971,23.86669774329301,10.074937552039968,no_ambiguity,True
0,44,0,20,20,13,7,28.13180682764363,19.946296501460118,23.99871273080342,9.877900257248314,no_ambiguity,True
0,44,1,20,20,13,7,27.99979184013322,19.81428151394971,23.86669774329301,10.074937552039968,no_ambiguity,True
1,42,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_ambiguity,True
1,42,1,5,5,10,10,24.33667776852623,19.733567965140033,18.838217613529878,15.915406315632495,no_ambiguity,True
1,43,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_ambiguity,True
1,43,1,5,5,10,10,24.33667776852623,19.733567965140033,18.838217613529878,15.915406315632495,no_ambiguity,True
1,44,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_ambiguity,True
1,44,1,5,5,10,10,24.33667776852623,19.733567965140033,18.838217613529878,15.915406315632495,no_ambiguity,True
2,42,0,9,9,15,15,28.134721065778514,22.93749072534378,21.72918775793171,13.604893931673855,no_ambiguity,True
2,43,0,9,9,15,15,28.134721065778514,22.93749072534378,21.72918775793171,13.604893931673855,no_ambiguity,True
2,44,0,9,9,15,15,28.134721065778514,22.93749072534378,21.72918775793171,13.604893931673855,no_ambiguity,True
3,42,0,28,28,9,6,28.000416319733553,23.150045807903005,23.981838767595335,7.8351995227857385,no_ambiguity,True
3,43,0,28,28,9,6,28.000416319733553,23.150045807903005,23.981838767595335,7.8351995227857385,no_ambiguity,True
3,44,0,28,28,9,6,28.000416319733553,23.150045807903005,23.981838767595335,7.8351995227857385,no_ambiguity,True
4,42,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_ambiguity,True
4,42,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_ambiguity,True
4,43,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_ambiguity,True
4,43,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_ambiguity,True
4,44,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_ambiguity,True
4,44,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_ambiguity,True
5,42,0,1,1,1,0,0.9201498751040784,-1.632049240581967,-0.38617291162080036,14.671418096859583,no_ambiguity,True
5,42,1,6,6,11,7,26.45828476269775,20.402574488553512,21.306615799434965,15.36076901089888,no_ambiguity,True
5,43,0,1,1,1,0,0.9201498751040784,-1.632049240581967,-0.38617291162080036,14.671418096859583,no_ambiguity,True
5,43,1,6,6,11,7,26.45828476269775,20.402574488553512,21.306615799434965,15.36076901089888,no_ambiguity,True
