policy,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,primary,100,0.25,1,full,True,0.5,6.733535403830141,6.856344961335433,1.0796,2.776,23.576629999999998,76.076,76.076,38.166,32.78,4.516108088455372,0.2734036429610271,2500
feasible_count_baseline,yellow,primary,100,0.25,1,full,True,0.5,17.018760333055784,22.027600333055787,2.116,2.524,5.00884,75.05,75.05,39.062,33.378,3.6145937616018267,0.5606814313067369,2500
ml_meeting_point_comparator,yellow,primary,100,0.25,1,full,True,0.5,17.697384096586177,17.91203905988712,2.15,2.526,4.7179,73.222,73.222,37.634,32.622,3.5832920753644504,0.5813219485075991,2500
rendezvous_observable,yellow,primary,100,0.25,1,full,True,0.5,17.48618409658618,18.008573011309725,2.13,2.52,4.9156,73.222,73.222,37.634,32.622,3.613452597702457,0.5835104630332559,2500
rendezvous_only,yellow,primary,100,0.25,1,full,True,0.5,17.547969275603663,22.43726927560366,2.1332,2.53,4.8893,73.126,73.126,37.744,32.432,3.621019637843084,0.5625566824968495,2500
time_only_baseline,yellow,primary,100,0.25,1,full,True,0.5,15.963010657785178,20.48501065778518,2.0504,2.436,4.522,70.388,70.388,34.76,29.818,3.500450480617484,0.5458183736531317,2500
walk_aware_rendezvous,yellow,primary,100,0.25,1,full,True,0.5,17.28154955870108,18.650814506126167,2.1012,2.502,4.95878,73.598,73.598,38.14,32.598,2.628888470815035,0.5416555427785075,2500
