profile,split,n_rows,mean_prediction,mean_observed,brier,roc_auc
equal,train,13731,0.8376044525899112,0.8384677008229554,0.13454941209757926,0.5612850945068018
equal,valid,4492,0.8371362658315359,0.8328138913624221,0.13821774612241775,0.5656850297794156
equal,test,1575,0.8346703830985575,0.8368253968253968,0.1363600986667376,0.5347862283969935
calibrated,train,13731,0.8378481241888485,0.8384677008229554,0.1345272610784592,0.5629842166110572
calibrated,valid,4492,0.8372135921529149,0.8328138913624221,0.1382341467669884,0.5642119871535449
calibrated,test,1575,0.8346932550301036,0.8368253968253968,0.1363431399882467,0.5403187236881728
