split,n_rows,target_mean,mae,rmse,observed_rmse,observed_mae,observed_roc_auc
train,89,0.8306882868237893,0.0003328829616336772,0.0004088723878499655,0.36385508627281765,0.27227000127456724,0.5428571428571429
valid,39,0.8228212164425747,0.0032140799381835303,0.004796306827328843,0.4750779121458657,0.3711106629430208,0.6543209876543209
test,16,0.8029377267912234,0.001914717404328109,0.003213440325101956,0.39449428923286084,0.31195347767998016,0.5641025641025642
