driver_id,seed,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,policy,route_idx,score,route_distance_miles,route_cost,expected_value,nominal_revenue,realized_revenue,actual_profit,successful_riders,attempted_riders,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,mean_observability,mean_walk_min,nominal_realized_gap
1,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,22.24458784346378,10.08270471124809,6.75541215653622,22.24458784346378,29.0,29.0,22.24458784346378,3,3,7,7,8,3,0.6130953752605012,2.0905484822761777,0.0
1,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,17.08503366504829,10.08270471124809,6.75541215653622,17.08503366504829,29.0,13.75,6.99458784346378,2,3,7,7,8,3,0.6130953752605012,2.0905484822761777,15.25
1,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,18.390343344704185,10.08270471124809,6.75541215653622,18.390343344704185,29.0,29.0,22.24458784346378,3,3,7,7,8,3,0.6130953752605012,2.0905484822761777,0.0
1,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,0,7.0,10.08270471124809,6.75541215653622,17.08503366504829,29.0,29.0,22.24458784346378,3,3,7,7,8,3,0.6130953752605012,2.0905484822761777,0.0
1,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-6.75541215653622,10.08270471124809,6.75541215653622,22.24458784346378,29.0,13.75,6.99458784346378,2,3,7,7,8,3,0.6130953752605012,2.0905484822761777,15.25
1,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,0,8.0,10.08270471124809,6.75541215653622,22.24458784346378,29.0,19.75,12.99458784346378,2,3,7,7,8,3,0.6130953752605012,2.0905484822761777,9.25
1,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,0,19.10876512004951,10.08270471124809,6.75541215653622,19.10876512004951,29.0,24.5,17.74458784346378,2,3,7,7,8,3,0.6130953752605012,2.0905484822761777,4.5
1,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,22.24458784346378,10.08270471124809,6.75541215653622,22.24458784346378,29.0,29.0,22.24458784346378,3,3,7,7,8,3,0.6130953752605012,2.0905484822761777,0.0
1,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,17.08503366504829,10.08270471124809,6.75541215653622,17.08503366504829,29.0,29.0,22.24458784346378,3,3,7,7,8,3,0.6130953752605012,2.0905484822761777,0.0
1,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,18.390343344704185,10.08270471124809,6.75541215653622,18.390343344704185,29.0,29.0,22.24458784346378,3,3,7,7,8,3,0.6130953752605012,2.0905484822761777,0.0
2,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,0,39.0,8.676973169125233,5.813572023313907,3.068863284982444,33.75,10.0,4.186427976686093,1,3,39,39,18,4,0.281869609024696,4.85060073508664,23.75
2,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-5.813572023313907,8.676973169125233,5.813572023313907,19.186427976686094,25.0,10.0,4.186427976686093,1,2,39,39,18,4,0.8456088270740879,2.6453497267651467,15.0
2,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,0,18.0,8.676973169125233,5.813572023313907,19.186427976686094,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,0,16.541078249920947,8.676973169125233,5.813572023313907,16.541078249920947,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,19.186427976686094,8.676973169125233,5.813572023313907,19.186427976686094,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,16.392516247426972,8.676973169125233,5.813572023313907,16.392516247426972,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,16.525043498056707,8.676973169125233,5.813572023313907,16.525043498056707,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,0,39.0,8.676973169125233,5.813572023313907,3.068863284982444,33.75,10.0,4.186427976686093,1,3,39,39,18,4,0.281869609024696,4.85060073508664,23.75
2,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-5.813572023313907,8.676973169125233,5.813572023313907,19.186427976686094,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,0,18.0,8.676973169125233,5.813572023313907,19.186427976686094,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,0,16.541078249920947,8.676973169125233,5.813572023313907,16.541078249920947,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,19.186427976686094,8.676973169125233,5.813572023313907,19.186427976686094,25.0,25.0,19.186427976686094,2,2,39,39,18,4,0.8456088270740879,2.6453497267651467,0.0
2,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,16.392516247426972,8.676973169125233,5.813572023313907,16.392516247426972,25.0,15.0,9.186427976686094,1,2,39,39,18,4,0.8456088270740879,2.6453497267651467,10.0
