driver_id,seed,time_slice,hour_start,hour_end,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_profile,observability_ablation,use_urban_context
0,42,evening_peak,16,19,0,4,4,1,0,6.380099916736054,2.259120077963141,3.6150060019361554,18.462537437707383,calibrated,full,True
0,42,evening_peak,16,19,1,10,10,0,0,-13.696128226477935,-13.696128226477935,-13.696128226477935,20.441982427579006,calibrated,full,True
0,43,evening_peak,16,19,0,4,4,1,0,6.380099916736054,2.259120077963141,3.6150060019361554,18.462537437707383,calibrated,full,True
0,43,evening_peak,16,19,1,10,10,0,0,-13.696128226477935,-13.696128226477935,-13.696128226477935,20.441982427579006,calibrated,full,True
1,42,evening_peak,16,19,0,7,7,8,3,22.24458784346378,17.08503366504829,19.10876512004951,10.08270471124809,calibrated,full,True
1,43,evening_peak,16,19,0,7,7,8,3,22.24458784346378,17.08503366504829,19.10876512004951,10.08270471124809,calibrated,full,True
2,42,evening_peak,16,19,0,39,39,18,4,19.186427976686094,16.392516247426972,16.541078249920947,8.676973169125233,calibrated,full,True
2,43,evening_peak,16,19,0,39,39,18,4,19.186427976686094,16.392516247426972,16.541078249920947,8.676973169125233,calibrated,full,True
3,42,evening_peak,16,19,0,8,8,3,1,11.536511240632805,8.022520441283003,7.570962695586847,10.766401133383871,calibrated,full,True
3,43,evening_peak,16,19,0,8,8,3,1,11.536511240632805,8.022520441283003,7.570962695586847,10.766401133383871,calibrated,full,True
4,42,evening_peak,16,19,0,18,18,6,1,14.725770191507076,10.1754223209229,10.084513040986748,8.245119117153617,calibrated,full,True
4,42,evening_peak,16,19,1,18,18,5,1,14.19421315570358,9.643865285119404,9.552956005183251,9.038487827308089,calibrated,full,True
4,43,evening_peak,16,19,0,18,18,6,1,14.725770191507076,10.1754223209229,10.084513040986748,8.245119117153617,calibrated,full,True
4,43,evening_peak,16,19,1,18,18,5,1,14.19421315570358,9.643865285119404,9.552956005183251,9.038487827308089,calibrated,full,True
5,42,evening_peak,16,19,0,23,23,2,0,2.67302248126561,-0.5392223294302259,1.5009411475371373,16.905936595125954,calibrated,full,True
5,42,evening_peak,16,19,1,26,26,6,0,7.9277685262281405,3.3535554708142623,3.8086980325134494,18.018255931002773,calibrated,full,True
5,43,evening_peak,16,19,0,23,23,2,0,2.67302248126561,-0.5392223294302259,1.5009411475371373,16.905936595125954,calibrated,full,True
5,43,evening_peak,16,19,1,26,26,6,0,7.9277685262281405,3.3535554708142623,3.8086980325134494,18.018255931002773,calibrated,full,True
6,42,evening_peak,16,19,0,10,10,0,0,-11.442756036636139,-11.442756036636139,-11.442756036636139,17.078740353188266,calibrated,full,True
6,42,evening_peak,16,19,1,17,17,14,8,27.171024146544543,20.84601221144567,21.261287365217203,18.40145649769471,calibrated,full,True
