policy,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,1.3538780183180672,1.9371540131039802,0.7583333333333333,2.5833333333333335,20.38125,18.15,18.15,9.325,3.308333333333333,4.5716765302793805,0.22885421317818072,240
feasible_count_baseline,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,7.036616361365528,11.017866361365527,1.5583333333333333,1.95,3.98125,17.691666666666666,17.691666666666666,9.583333333333334,3.325,3.2558377513362617,0.5155119508360291,240
ml_meeting_point_comparator,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,7.132778066888703,8.831637823412334,1.5166666666666666,1.925,4.523958333333334,16.833333333333332,16.833333333333332,9.0,3.325,3.230601869487806,0.5310252912319863,240
rendezvous_observable,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,7.597361400222036,7.957475117387563,1.5333333333333334,1.925,4.040625,16.833333333333332,16.833333333333332,9.0,3.325,3.2484080583751487,0.5355964751778022,240
rendezvous_only,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,7.618194733555369,11.656736400222035,1.5375,1.9333333333333333,4.038541666666666,16.833333333333332,16.833333333333332,9.0,3.325,3.308758426950841,0.5245525489037952,240
time_only_baseline,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,5.6456898764918115,9.784231543158478,1.4416666666666667,1.85,4.138541666666667,17.308333333333334,17.308333333333334,9.1,3.0833333333333335,3.089404383545514,0.49090467409077676,240
walk_aware_rendezvous,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,7.124444733555369,8.5329961390007,1.4958333333333333,1.9166666666666667,4.413541666666666,16.833333333333332,16.833333333333332,9.0,3.325,2.608658180423421,0.5132296302359003,240
