driver_id,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id,route_idx,route_cost,route_distance_miles,route_duration_min,rider_id,anchor_cell,anchor_idx,pickup_h3,dropoff_h3,fare_share,passenger_count,walk_m,walk_min,anchor_progress,travel_fraction,ambiguity_count,local_straightness,turn_severity,anchor_clutter,urban_clutter_index,sidewalk_access_score,building_height_proxy,context_is_imputed,observability_score,success_probability
2,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,5.813572023313907,8.676973169125233,17.11,25223,892a100d04bffff,42,892a100d2b3ffff,892a100893bffff,4.75,2,306.4706644465399,4.086275525953865,0.875,0.10723288422515176,1,0.7667699570221578,0.6497180183289012,1.6685714285714286,0.79,1.0,0.4,False,0.6333850527151831,0.8033540210860732
2,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,5.813572023313907,8.676973169125233,17.11,36484,892a100d04bffff,42,892a100d2b3ffff,892a100d2c3ffff,4.5,1,374.7129156523871,4.9961722086984945,0.875,0.06105390007039935,1,0.7667699570221578,0.6497180183289012,1.6685714285714286,0.79,1.0,0.4,False,0.6333850527151831,0.8033540210860732
3,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,7.213488759367194,10.766401133383871,24.09333333333333,964,892a1072c2fffff,2,892a1072c2bffff,892a100d663ffff,7.0,1,273.6035477919665,3.6480473038928865,0.03508771929824561,0.09537608632930122,1,0.6662464573891403,0.6737905144508921,1.7314285714285713,0.71,1.0,0.4,False,0.6043338944647362,0.7917335577858944
3,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,7.213488759367194,10.766401133383871,24.09333333333333,34361,892a100f19bffff,51,892a100f567ffff,892a100e48fffff,11.75,2,382.1309453238159,5.095079270984212,0.8947368421052632,0.08945415893084241,2,0.908997625999533,0.32339185601298304,1.4024695535714287,0.651016875,1.0,0.1457625,False,0.6180296414841835,0.7972118565936733
3,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,7.213488759367194,10.766401133383871,24.09333333333333,34361,892a100f193ffff,52,892a100f567ffff,892a100e48fffff,11.75,2,321.2287339649275,4.283049786199033,0.9122807017543859,0.06889248618771004,2,0.7667193281454161,1.5519799500099098e-05,1.375657032944235,0.6278854927490789,0.9849220208749567,0.10824426499736842,False,0.6875264459891351,0.8250105783956541
5,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,11.32697751873439,16.905936595125954,29.509999999999998,33388,892a100d6cfffff,1,892a100d6cfffff,892a1072d2fffff,14.0,1,175.8122000592709,2.344162667456945,0.010869565217391304,0.20145162308549314,3,0.8886550222065944,0.3262897891761914,2.175461869617057,0.9987195121951218,0.9999998028568104,0.9963414634146341,False,0.542827031494013,0.7671308125976052
5,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,11.32697751873439,16.905936595125954,29.509999999999998,33388,892a100d61bffff,2,892a100d6cfffff,892a1072d2fffff,14.0,1,207.35901939738324,2.764786925298443,0.021739130434782608,0.190236875658541,3,0.8715915508899742,0.32626638738720776,1.668571625772602,0.79,0.9999998027988266,0.4,False,0.5513848552328866,0.7705539420931546
5,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,1,12.07223147377186,18.018255931002773,31.478333333333335,33388,892a100d6cfffff,1,892a100d6cfffff,892a1072d2fffff,14.0,1,175.8122000592709,2.344162667456945,0.00980392156862745,0.11816087375606626,3,0.8886550222065944,0.3262897891761914,2.175461869617057,0.9987195121951218,0.9999998028568104,0.9963414634146341,False,0.542827031494013,0.7671308125976052
5,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,1,12.07223147377186,18.018255931002773,31.478333333333335,33388,892a100d61bffff,2,892a100d6cfffff,892a1072d2fffff,14.0,1,207.35901939738324,2.764786925298443,0.0196078431372549,0.10764342339665074,3,0.8715915508899742,0.32626638738720776,1.668571625772602,0.79,0.9999998027988266,0.4,False,0.5513848552328866,0.7705539420931546
6,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,1,12.328975853455457,18.40145649769471,31.383333333333333,3014,892a100e243ffff,59,892a100e253ffff,892a100d22bffff,15.25,1,307.20999238729917,4.096133231830655,0.5728155339805825,0.4035483322873148,2,1.0,8.108404271448914e-06,1.5731585233639762,0.6923757404293625,0.8583254176787611,0.12107354408389259,False,0.7277230547287359,0.8410892218914943
