driver_id,seed,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id,policy,route_idx,score,route_distance_miles,route_cost,expected_value,nominal_revenue,realized_revenue,actual_profit,successful_riders,attempted_riders,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,mean_observability,mean_walk_min,nominal_realized_gap,selected_rider_ids,successful_rider_ids
1,43,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,corridor_only,0,4.0,10.08270471124809,6.75541215653622,17.08503366504829,29.0,29.0,22.24458784346378,3,3,4,4,5,2,0.6130953752605012,2.0905484822761777,0.0,4825;811;13913,4825;811;13913
1,43,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,time_only_baseline,0,-6.75541215653622,10.08270471124809,6.75541215653622,22.24458784346378,29.0,13.75,6.99458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,15.25,4825;811;13913,811;13913
1,43,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,feasible_count_baseline,0,5.0,10.08270471124809,6.75541215653622,22.24458784346378,29.0,19.75,12.99458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,9.25,4825;811;13913,4825;13913
1,43,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,walk_aware_rendezvous,0,19.10876512004951,10.08270471124809,6.75541215653622,19.10876512004951,29.0,24.5,17.74458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,4.5,4825;811;13913,4825;811
1,43,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,rendezvous_only,0,22.24458784346378,10.08270471124809,6.75541215653622,22.24458784346378,29.0,29.0,22.24458784346378,3,3,4,4,5,2,0.6130953752605012,2.0905484822761777,0.0,4825;811;13913,4825;811;13913
1,43,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,rendezvous_observable,0,17.08503366504829,10.08270471124809,6.75541215653622,17.08503366504829,29.0,29.0,22.24458784346378,3,3,4,4,5,2,0.6130953752605012,2.0905484822761777,0.0,4825;811;13913,4825;811;13913
1,44,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,corridor_only,0,4.0,10.08270471124809,6.75541215653622,17.08503366504829,29.0,24.5,17.74458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,4.5,4825;811;13913,4825;811
1,44,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,time_only_baseline,0,-6.75541215653622,10.08270471124809,6.75541215653622,22.24458784346378,29.0,29.0,22.24458784346378,3,3,4,4,5,2,0.6130953752605012,2.0905484822761777,0.0,4825;811;13913,4825;811;13913
1,44,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,feasible_count_baseline,0,5.0,10.08270471124809,6.75541215653622,22.24458784346378,29.0,24.5,17.74458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,4.5,4825;811;13913,4825;811
1,44,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,walk_aware_rendezvous,0,19.10876512004951,10.08270471124809,6.75541215653622,19.10876512004951,29.0,19.75,12.99458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,9.25,4825;811;13913,4825;13913
1,44,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,rendezvous_only,0,22.24458784346378,10.08270471124809,6.75541215653622,22.24458784346378,29.0,24.5,17.74458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,4.5,4825;811;13913,4825;811
1,44,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,rendezvous_observable,0,17.08503366504829,10.08270471124809,6.75541215653622,17.08503366504829,29.0,19.75,12.99458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,9.25,4825;811;13913,4825;13913
1,45,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,corridor_only,0,4.0,10.08270471124809,6.75541215653622,17.08503366504829,29.0,13.75,6.99458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,15.25,4825;811;13913,811;13913
1,45,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,time_only_baseline,0,-6.75541215653622,10.08270471124809,6.75541215653622,22.24458784346378,29.0,29.0,22.24458784346378,3,3,4,4,5,2,0.6130953752605012,2.0905484822761777,0.0,4825;811;13913,4825;811;13913
1,45,yellow,sparse_high_occlusion,evening_peak,all,16,19,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,feasible_count_baseline,0,5.0,10.08270471124809,6.75541215653622,22.24458784346378,29.0,24.5,17.74458784346378,2,3,4,4,5,2,0.6130953752605012,2.0905484822761777,4.5,4825;811;13913,4825;811
