policy,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,-1.999231012723558,-1.8426272041209735,0.5685950413223141,2.256198347107438,14.73388429752066,7.586776859504132,7.586776859504132,4.1570247933884295,1.4462809917355373,4.349333044183713,0.17962622124042224,605
feasible_count_baseline,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,0.5628935253679775,3.032728236111779,1.0115702479338844,1.3140495867768596,2.4698347107438017,7.3884297520661155,7.3884297520661155,4.223140495867769,1.4710743801652892,2.550032040416129,0.38707583983702404,605
rendezvous_observable,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,0.7675150184763375,1.0027256651413525,1.0330578512396693,1.2892561983471074,2.482231404958678,7.181818181818182,7.181818181818182,3.958677685950413,1.43801652892562,2.4832752396674804,0.4065204885958813,605
rendezvous_only,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,0.6666885721953458,3.260077001947412,1.0033057851239668,1.2892561983471074,2.593388429752066,7.181818181818182,7.181818181818182,3.958677685950413,1.43801652892562,2.595863763320615,0.3943166720383136,605
time_only_baseline,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,-0.13645756635310893,2.4185011113328416,0.9752066115702479,1.256198347107438,2.5549586776859505,7.231404958677686,7.231404958677686,4.074380165289257,1.3636363636363635,2.340912825094394,0.3586631572354457,605
walk_aware_rendezvous,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,0.7026389854184864,1.18994404542428,0.9900826446280991,1.2892561983471074,2.547107438016529,7.181818181818182,7.181818181818182,3.958677685950413,1.43801652892562,2.052971306090698,0.3875216821024946,605
