policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,2015-04-01T00:19:00,7,1,3,3,31.5,26.02352206494588,11.0,4.138888888888889,3.5262204607340597,0.7395446630081998,64,460834;151876;604106,460834;151876;604106,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T00:33:00,245,0,1,3,7.0,-0.3601582014987521,5.0,4.933333333333334,5.443111221657229,0.3725584713598337,62,170028;643189;133407,133407,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T07:27:00,167,1,0,2,0.0,-5.884263114071607,17.0,0.0,6.0,0.0,106,665866;151657,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T08:38:00,40,0,0,0,0.0,-11.69412989175687,0.0,0.0,0.0,0.0,108,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T20:25:00,129,0,1,3,9.0,1.9788093255620307,17.0,1.7166666666666666,5.442623120733054,0.24472752678112739,132,140209;91827;506873,140209,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T21:32:00,244,0,2,3,16.0,7.746502914238134,17.0,2.275,4.384233696623636,0.5277478121927307,137,389797;223705;331790,223705;331790,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T05:09:00,12,0,0,0,0.0,-8.22323064113239,0.0,0.0,0.0,0.0,8,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T14:13:00,65,0,3,3,43.75,38.32647793505412,22.0,2.6055555555555556,1.6341346173386142,0.6973055547741493,103,257226;106985;685240,257226;106985;685240,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T17:37:00,61,1,2,3,29.0,15.1263114071607,21.0,2.05,3.9845526035313905,0.6330599622693869,98,595342;307745;607131,307745;607131,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T19:57:00,127,0,0,0,0.0,-8.366278101582015,1.0,0.0,0.0,0.0,118,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T21:11:00,39,0,1,3,9.75,-0.7820149875104097,12.0,1.3833333333333333,5.859399110396254,0.14371892504743686,118,508497;508865;586620,586620,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T22:48:00,33,0,0,1,0.0,-9.628642797668611,1.0,0.0,6.0,0.0,118,253940,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T23:38:00,68,1,1,3,10.75,1.3784762697751862,15.0,4.25,4.727073480412588,0.18523696299431322,116,654802;686185;45952,45952,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T23:39:00,22,0,0,3,0.0,-9.075395503746877,20.0,0.0,4.772951891438077,0.234502568687897,115,299126;479517;69735,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T00:03:00,36,0,1,3,9.75,4.013655287260615,15.0,2.7,5.903421412427613,0.22307451654524213,104,122956;329083;161423,329083,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T05:45:00,95,0,0,2,0.0,-11.048084929225647,2.0,0.0,4.313780743935937,0.275693376348533,15,230436;472070,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T05:55:00,4,1,0,3,0.0,-13.739342214820985,7.0,0.0,6.0,0.0,23,119051;657140;349634,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T06:14:00,238,0,0,0,0.0,-8.11923397169026,0.0,0.0,0.0,0.0,24,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T06:36:00,9,1,0,2,0.0,-5.5421315570358045,2.0,0.0,6.0,0.0,45,140373;673082,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T07:56:00,16,1,1,3,6.25,0.018817651956702264,13.0,3.8333333333333335,4.769385081849234,0.1379093127254987,61,377243;339859;359021,339859,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T12:31:00,18,1,0,3,0.0,-11.760699417152374,50.0,0.0,6.0,0.0,119,158009;131250;263316,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T13:13:00,84,1,0,2,0.0,-5.1763114071607,5.0,0.0,6.0,0.0,96,399423;306792,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T15:53:00,21,0,0,0,0.0,-9.57323064113239,1.0,0.0,0.0,0.0,80,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
