policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,250,250,0,1.0,683169,151,-641.6638218151539,-2.5666552872606156,0.0002210287644784819,2.461589403973509,5.082734085287084,0.21719963500148665,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,43,250,250,0,1.0,683169,147,-782.4138218151537,-3.129655287260615,0.0002151736978697804,2.5671201814058953,5.082734085287084,0.21719963500148665,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
corridor_only,44,250,250,0,1.0,683169,158,-582.1638218151537,-2.3286552872606148,0.00023127513104370955,2.510759493670886,5.082734085287084,0.21719963500148665,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
time_only_baseline,42,250,250,0,1.0,683169,239,-320.55133222314754,-1.28220532889259,0.00034984022986991507,2.4753138075313803,4.132892862729328,0.5957162795427808,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
time_only_baseline,43,250,250,0,1.0,683169,253,-191.3013322231478,-0.7652053288925912,0.00037033296300037033,2.5710144927536227,4.132892862729328,0.5957162795427808,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
time_only_baseline,44,250,250,0,1.0,683169,257,-216.3013322231478,-0.8652053288925912,0.0003761880296090718,2.4457846952010365,4.132892862729328,0.5957162795427808,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,42,250,250,0,1.0,683169,275,80.52127393838443,0.3220850957535377,0.00040253582934822864,2.365090909090907,4.174754020139008,0.5995631162970347,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,43,250,250,0,1.0,683169,272,64.27127393838434,0.2570850957535374,0.0003981445293917025,2.4634191176470575,4.174754020139008,0.5995631162970347,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,250,250,0,1.0,683169,286,132.02127393838438,0.5280850957535376,0.0004186372625221578,2.4308857808857796,4.174754020139008,0.5995631162970347,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,250,250,0,1.0,683169,284,177.42793505412135,0.7097117402164854,0.000415709729217807,2.49413145539906,3.2073901999085397,0.5815822511482015,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,250,250,0,1.0,683169,251,-81.57206494587874,-0.32628825978351494,0.00036740542969601955,2.571845949535193,3.2073901999085397,0.5815822511482015,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,250,250,0,1.0,683169,283,208.42793505412146,0.8337117402164859,0.00041424596256563163,2.431978798586573,3.2073901999085397,0.5815822511482015,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
rendezvous_only,42,250,250,0,1.0,683169,275,106.35578684429615,0.4254231473771846,0.00040253582934822864,2.532363636363636,4.165693506325002,0.5993510047513374,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
rendezvous_only,43,250,250,0,1.0,683169,281,113.10578684429618,0.4524231473771847,0.0004113184292612809,2.5029655990510076,4.165693506325002,0.5993510047513374,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
rendezvous_only,44,250,250,0,1.0,683169,289,206.10578684429623,0.8244231473771849,0.0004230285624786839,2.5487889273356394,4.165693506325002,0.5993510047513374,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
rendezvous_observable,42,250,250,0,1.0,683169,271,85.95149875104046,0.34380599500416187,0.00039668076273952714,2.550430504305042,3.986225168345575,0.6227254162332885,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
rendezvous_observable,43,250,250,0,1.0,683169,283,137.70149875104053,0.5508059950041622,0.00041424596256563163,2.449116607773849,3.986225168345575,0.6227254162332885,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
rendezvous_observable,44,250,250,0,1.0,683169,290,205.70149875104048,0.8228059950041618,0.0004244923291308593,2.5227586206896544,3.986225168345575,0.6227254162332885,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
ml_meeting_point_comparator,42,250,250,0,1.0,683169,281,146.10578684429618,0.5844231473771847,0.0004113184292612809,2.5518386714116232,4.025914636549918,0.6170060370525692,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
ml_meeting_point_comparator,43,250,250,0,1.0,683169,287,143.60578684429618,0.5744231473771847,0.0004201010291743331,2.5094076655052255,4.025914636549918,0.6170060370525692,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
ml_meeting_point_comparator,44,250,250,0,1.0,683169,276,60.355786844296155,0.24142314737718462,0.000403999596000404,2.5425724637681144,4.025914636549918,0.6170060370525692,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
