policy,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,mean_profit_per_driver,mean_total_profit,mean_service_rate,mean_wait_min,mean_walk_min,mean_observability,mean_route_coverage_rate,mean_drivers_skipped_no_route,mean_eligible_riders,n_runs
corridor_only,yellow,sparse_high_occlusion,25,0.4,1,full,True,0.5,-2.6506552872606153,-662.6638218151538,0.00022346837556544086,2.512557760810622,5.082734085287084,0.21527108406805553,1.0,0.0,683169.0,3
feasible_count_baseline,yellow,sparse_high_occlusion,25,0.4,1,full,True,0.5,0.32708509575353756,81.77127393838438,0.00040399959600040397,2.4184762952014403,4.174754020139008,0.5933552564623115,1.0,0.0,683169.0,3
ml_meeting_point_comparator,yellow,sparse_high_occlusion,25,0.4,1,full,True,0.5,0.43642314737718485,109.10578684429622,0.0004103425848264973,2.5269276279276265,4.025914636549918,0.6097092860233372,1.0,0.0,683169.0,3
rendezvous_observable,yellow,sparse_high_occlusion,25,0.4,1,full,True,0.5,0.5375017485428798,134.37543713571995,0.00040985466260910547,2.5122850498364326,4.0058731276611805,0.6125609481231983,1.0,0.0,683169.0,3
rendezvous_only,yellow,sparse_high_occlusion,25,0.4,1,full,True,0.5,0.5130898140438513,128.27245351096283,0.0004093667403917137,2.5268295944864203,4.165693506325002,0.5933063174586588,1.0,0.0,683169.0,3
time_only_baseline,yellow,sparse_high_occlusion,25,0.4,1,full,True,0.5,-0.9988719955592575,-249.71799888981437,0.000363989974174277,2.4960018518518514,4.132892862729328,0.5896208821282208,1.0,0.0,683169.0,3
walk_aware_rendezvous,yellow,sparse_high_occlusion,25,0.4,1,full,True,0.5,0.3673784068831521,91.84460172078802,0.0003976566071743107,2.5131100463489933,3.2073901999085397,0.5784133546281301,1.0,0.0,683169.0,3
