policy,domain,scenario_name,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_ablation,use_urban_context,walk_penalty_per_min,mean_profit_per_driver,mean_total_profit,mean_service_rate,mean_wait_min,mean_walk_min,mean_observability,mean_route_coverage_rate,mean_drivers_skipped_no_route,mean_eligible_riders,n_runs
corridor_only,yellow,very_sparse_extreme_occlusion,10,0.55,1,full,True,0.5,-5.939810435747994,-1484.9526089369983,0.00033666337322062434,2.46593989865836,5.187746784719428,0.18078609007131116,1.0,0.0,273270.0,3
feasible_count_baseline,yellow,very_sparse_extreme_occlusion,10,0.55,1,full,True,0.5,-5.093735664723845,-1273.4339161809614,0.0004891377270343128,2.4132535674202344,4.14070254516346,0.5804254630857636,1.0,0.0,273270.0,3
ml_meeting_point_comparator,yellow,very_sparse_extreme_occlusion,10,0.55,1,full,True,0.5,-4.928790119344995,-1232.1975298362486,0.0004866981373732938,2.472287386829807,3.920861793087385,0.5968599972555542,1.0,0.0,273270.0,3
rendezvous_observable,yellow,very_sparse_extreme_occlusion,10,0.55,1,full,True,0.5,-4.976504301970584,-1244.126075492646,0.0004866981373732938,2.380962516514303,3.9128421211280906,0.5980847974570179,1.0,0.0,273270.0,3
rendezvous_only,yellow,very_sparse_extreme_occlusion,10,0.55,1,full,True,0.5,-4.956790119344994,-1239.1975298362486,0.0004940169063563509,2.446078073972811,4.149608434927324,0.578746780372785,1.0,0.0,273270.0,3
time_only_baseline,yellow,very_sparse_extreme_occlusion,10,0.55,1,full,True,0.5,-5.6835386622259305,-1420.8846655564828,0.00040741147339017574,2.4666810966810977,4.114134225190222,0.5788387345071034,1.0,0.0,273270.0,3
walk_aware_rendezvous,yellow,very_sparse_extreme_occlusion,10,0.55,1,full,True,0.5,-4.843164751595896,-1210.7911878989742,0.0004903575218648224,2.3653932629079804,3.145644726581836,0.5694422916632869,1.0,0.0,273270.0,3
