policy,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-4.574594088259785,-4.2918782167523934,0.5433333333333333,2.2416666666666667,14.429583333333333,7.266666666666667,7.266666666666667,3.775,0.9916666666666667,4.447076725350039,0.16353180755451008,600
feasible_count_baseline,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-2.2526457119067453,0.20235428809325454,0.9683333333333334,1.2916666666666667,2.455,7.125,7.125,3.95,1.0916666666666666,2.811751111747385,0.40848027404662424,600
rendezvous_observable,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-1.659730432972524,-1.513623629594103,1.0033333333333334,1.2916666666666667,2.0166666666666666,7.066666666666666,7.066666666666666,3.941666666666667,1.1083333333333334,2.6933877993826347,0.42534909181537905,600
rendezvous_only,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-1.959714127116293,0.3623692062170403,0.9716666666666667,1.2916666666666667,2.3220833333333335,7.083333333333333,7.083333333333333,3.908333333333333,1.075,2.8060414744861046,0.4078618405507138,600
time_only_baseline,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-2.5142499306133788,-0.4475832639467121,0.8866666666666667,1.1833333333333333,2.066666666666667,6.783333333333333,6.783333333333333,3.5416666666666665,0.925,2.6527880445822887,0.384537718482951,600
walk_aware_rendezvous,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-2.1050336525117967,-1.6817719352451783,0.9466666666666667,1.2833333333333334,2.4254166666666666,7.058333333333334,7.058333333333334,3.9,1.075,2.1435910799081275,0.3979947634352387,600
