policy,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_profit_per_driver,mean_total_profit,mean_service_rate,mean_wait_min,mean_walk_min,mean_observability,mean_route_coverage_rate,mean_drivers_skipped_no_route,mean_eligible_riders,n_runs
corridor_only,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-6.156356161532059,-738.762739383847,0.0013652309138909985,2.5150704926624736,5.201409095911857,0.18170611870430173,0.48,130.0,36868.0,3
feasible_count_baseline,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-5.604323827366087,-672.5188592839304,0.0017811290730895808,2.6070927220927214,4.179385482262696,0.5949490708980943,0.48,130.0,36868.0,3
rendezvous_observable,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-5.034243917106117,-604.1092700527341,0.0019348305667064483,2.6784353033256543,3.8807938480629223,0.6131458927099324,0.48,130.0,36868.0,3
rendezvous_only,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-5.237021694883896,-628.4426033860674,0.0018715417163936204,2.6388414605081265,4.13313903196096,0.5979464820127758,0.48,130.0,36868.0,3
time_only_baseline,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-5.371194375057826,-644.5433250069391,0.001717840222776753,2.597043951027002,4.140920845310686,0.601345993406827,0.48,130.0,36868.0,3
walk_aware_rendezvous,yellow,sparse_high_occlusion,morning_peak,all,10,0.4,1,calibrated,full,True,0.5,-5.253027685262285,-630.3633222314742,0.0018353766590720048,2.5628909512860916,3.3004270474162083,0.5859524870269058,0.48,130.0,36868.0,3
