policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id
corridor_only,42,2015-04-01T08:25:00,55,0,0,3,0.0,-5.908909242298086,6.0,0.0,6.0,0.0,51,10504;8094;13550,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-01T09:27:00,24,0,1,3,6.5,-0.3839300582847631,13.0,0.6333333333333333,3.8002751008681357,0.356028103463569,40,31679;1329;25085,25085,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-02T07:01:00,116,0,0,2,0.0,-7.4263946711074125,3.0,0.0,6.0,0.0,9,3547;8962,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-02T08:40:00,93,0,1,3,8.75,-3.2760616153205664,3.0,3.6333333333333333,5.570612073796781,0.1809762880678986,56,23064;31509;11940,31509,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-02T08:53:00,40,0,0,2,0.0,-11.945045795170692,3.0,0.0,6.0,0.0,39,32773;24936,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-02T09:38:00,71,0,0,2,0.0,-11.269025811823482,2.0,0.0,6.0,0.0,40,1043;34328,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-03T07:14:00,61,0,0,2,0.0,-11.68472106577852,2.0,0.0,6.0,0.0,12,26524;33786,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-03T07:22:00,34,0,0,3,0.0,-11.54571190674438,3.0,0.0,6.0,0.0,21,17515;18298;27171,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-03T07:42:00,11,0,1,3,4.0,-8.855370524562865,5.0,2.6,4.555316935290521,0.17055655359737076,26,33304;24393;34038,34038,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-03T07:42:00,53,1,0,2,0.0,-11.798459616985847,4.0,0.0,6.0,0.0,24,7731;9423,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-03T08:00:00,42,0,1,3,4.25,-7.130474604496257,4.0,4.366666666666666,5.660147954695617,0.19347253926063365,30,25414;17097;13762,17097,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-03T09:23:00,6,1,1,2,2.5,-3.844920899250625,3.0,0.65,3.9413096403611325,0.16186318289383722,36,19600;33735,33735,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-04T08:42:00,90,0,1,2,14.5,8.919317235636969,3.0,1.1333333333333333,2.171904768188702,0.4656948989185966,17,5981;23357,5981,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-05T08:02:00,43,0,0,0,0.0,-12.087302248126562,0.0,0.0,0.0,0.0,11,,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-05T09:25:00,100,0,0,0,0.0,-6.65383014154871,0.0,0.0,0.0,0.0,17,,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-05T09:57:00,106,0,1,3,4.5,-3.10774354704413,3.0,2.1333333333333333,5.8296116397149165,0.18799295224509538,20,30372;19094;31670,19094,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-06T07:30:00,99,0,0,3,0.0,-6.9503746877602,3.0,0.0,4.849871787418468,0.10853308612051976,17,34819;1303;16070,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-06T09:39:00,50,0,0,3,0.0,-11.264612822647795,7.0,0.0,6.0,0.0,45,22727;19329;19569,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-06T09:39:00,85,0,0,0,0.0,-6.684096586178186,0.0,0.0,0.0,0.0,41,,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-07T08:02:00,23,0,0,3,0.0,-7.694754371357202,7.0,0.0,6.0,0.0,38,980;25792;29098,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-08T09:06:00,114,0,0,0,0.0,-8.052373022481266,0.0,0.0,0.0,0.0,45,,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,42,2015-04-08T09:43:00,31,1,0,3,0.0,-12.831473771856789,7.0,0.0,6.0,0.0,46,24601;2622;22013,,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
