policy,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,mean_actual_profit,mean_expected_value,mean_successful_riders,mean_attempted_riders,mean_nominal_realized_gap,mean_candidate_count,mean_time_eligible_candidate_count,mean_feasible_opportunity_count,mean_observable_opportunity_count,mean_walk_min,mean_observability,n_rows
corridor_only,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,False,0.5,-3.5336669275603674,-3.427583245186796,0.5436,2.194,13.436079999999999,7.812,7.812,3.864,0.742,4.334857090779019,0.15942466685403328,2500
feasible_count_baseline,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,False,0.5,-1.3268426977518746,1.2975373022481256,0.9328,1.252,2.62438,7.55,7.55,4.056,0.756,2.616548458342672,0.3496705418664973,2500
ml_meeting_point_comparator,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,False,0.5,-0.9426026977518744,0.0879986097918631,0.9432,1.256,2.59024,7.438,7.438,3.966,0.75,2.5427619983385004,0.3619171404869449,2500
rendezvous_observable,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,False,0.5,-1.0081796336386355,-0.693595901602162,0.9416,1.256,2.65004,7.45,7.45,3.954,0.756,2.569492497851312,0.3632636514345058,2500
rendezvous_only,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,False,0.5,-0.9582350541215665,1.6489649458784337,0.9428,1.258,2.6072,7.424,7.424,3.948,0.746,2.636601075423034,0.3526763225021407,2500
time_only_baseline,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,False,0.5,-1.8881693422148218,0.309510657785178,0.8528,1.126,2.19768,7.164,7.164,3.492,0.668,2.4328083111838263,0.3271398237151157,2500
walk_aware_rendezvous,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,False,0.5,-1.0869456119900092,-0.34353450535227387,0.9208,1.24,2.67678,7.464,7.464,3.98,0.748,2.0612099841340163,0.3433543731949788,2500
