driver_id,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,route_idx,route_cost,route_distance_miles,route_duration_min,rider_id,anchor_cell,anchor_idx,pickup_h3,dropoff_h3,fare_share,passenger_count,walk_m,walk_min,anchor_progress,travel_fraction,ambiguity_count,local_straightness,turn_severity,anchor_clutter,urban_clutter_index,sidewalk_access_score,building_height_proxy,context_is_imputed,observability_score,success_probability
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,6.618193172356371,9.877900257248314,19.96333333333333,48564,892a100d227ffff,0,892a100d227ffff,892a10089afffff,5.5,2,48.02901259283158,0.6403868345710877,0.0,0.3613492052056627,2,1.0,0.0,1.4364947831931927,0.7532606854424817,0.9999954528814057,0.29503052983566186,False,0.7320851336845,0.8428340534737999
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,6.618193172356371,9.877900257248314,19.96333333333333,48564,892a100d237ffff,1,892a100d227ffff,892a10089afffff,5.5,2,342.38254296796623,4.565100572906217,0.017241379310344827,0.33961098056166844,2,0.8869691172145683,7.373373978541369e-06,1.8268512254418372,0.7963390164852395,0.9999721003080302,0.41811147567211293,False,0.6981417089951012,0.8292566835980404
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,6.618193172356371,9.877900257248314,19.96333333333333,97814,892a100d227ffff,0,892a100d35bffff,892a1072583ffff,7.5,4,328.84204205867593,4.3845605607823455,0.0,0.1828050910851332,1,1.0,0.0,1.4364947831931927,0.7532606854424817,0.9999954528814057,0.29503052983566186,False,0.8820851336845,0.9028340534738
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,0,6.618193172356371,9.877900257248314,19.96333333333333,122242,892a100d05bffff,9,892a100d62fffff,892a1008997ffff,5.0,1,210.39240168036352,2.8052320224048466,0.15517241379310345,0.30236750877162927,1,0.6614475864493053,0.6737255941262195,1.851525616611,0.74,0.9099029548175713,0.4,False,0.6003097325483536,0.7901238930193414
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,6.750208159866779,10.074937552039968,22.233333333333334,48564,892a100d227ffff,0,892a100d227ffff,892a10089afffff,5.5,2,48.02901259283158,0.6403868345710877,0.0,0.35435683169989296,2,1.0,0.0,1.4364947831931927,0.7532606854424817,0.9999954528814057,0.29503052983566186,False,0.7320851336845,0.8428340534737999
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,6.750208159866779,10.074937552039968,22.233333333333334,48564,892a100d237ffff,1,892a100d227ffff,892a10089afffff,5.5,2,342.38254296796623,4.565100572906217,0.016666666666666666,0.3330392577280833,2,0.8869691172145683,7.373373978541369e-06,1.8268512254418372,0.7963390164852395,0.9999721003080302,0.41811147567211293,False,0.6981417089951012,0.8292566835980404
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,6.750208159866779,10.074937552039968,22.233333333333334,97814,892a100d227ffff,0,892a100d35bffff,892a1072583ffff,7.5,4,328.84204205867593,4.3845605607823455,0.0,0.1792676778095291,1,1.0,0.0,1.4364947831931927,0.7532606854424817,0.9999954528814057,0.29503052983566186,False,0.8820851336845,0.9028340534738
0,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,6.750208159866779,10.074937552039968,22.233333333333334,122242,892a100d05bffff,9,892a100d62fffff,892a1008997ffff,5.0,1,210.39240168036352,2.8052320224048466,0.15,0.29651647457290453,1,0.6614475864493053,0.6737255941262195,1.851525616611,0.74,0.9099029548175713,0.4,False,0.6003097325483536,0.7901238930193414
1,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,10.663322231473773,15.915406315632495,26.03166666666667,144711,892a100e243ffff,60,892a100e253ffff,892a1008cb3ffff,11.75,1,328.48525071304675,4.379803342840623,0.6818181818181818,0.11461630424990943,2,1.0,8.108404271448914e-06,1.5731585233639762,0.6923757404293625,0.8583254176787611,0.12107354408389259,False,0.7277230547287359,0.8410892218914943
1,yellow,sparse_high_occlusion,all_day,all,10,0.4,1,calibrated,full,True,0.5,1,10.663322231473773,15.915406315632495,26.03166666666667,144711,892a100e25bffff,61,892a100e253ffff,892a1008cb3ffff,11.75,1,320.50410479400205,4.273388063920027,0.6931818181818182,0.10094566359575463,2,0.9029193278930424,8.109739244825202e-06,1.6982532760621214,0.5381383333333334,0.6729398191759738,0.30896666666666667,False,0.7047034588484917,0.8318813835393967
